data,بدون_تشكيل,tag,المحذوف
أَبْصَارَهُمْ,ابصارهم,,
كُلَّمَا,كلما,,
أَضَاءَ,اضاء,,
,لهم,حرف_جر,لَهُمْ
,مشوا,اسم,مَشَوْا
,فيه,حرف_جر,فِيهِ
,واذا,اسم,وَإِذَا
أَظْلَمَ,اظلم,,
,عليهم,حرف_جر,عَلَيْهِمْ
,قاموا,اسم,قَامُوا
,ولو,حرف,وَلَوْ
,شاء,فعل,
اللَّهُ,,اسم,اللَّهُ
لَذَهَبَ,لذهب,,
بِسَمْعِهِمْ,بسمعهم,,
وَأَبْصَارِهِمْ,وابصارهم,,
,ان,حرف,إِنَّ
اللَّهَ,,اسم,اللَّهَ
,علي,حرف_جر,عَلَىٰ
,كل,اسم,كُلِّ
,None,اسم,شَيْءٍ
,None,اسم,قَدِيرٌ
,يا,حرف,يَا
,ايها,حرف,أَيُّهَا
النَّاسُ,الناس,اسم,النَّاسُ
اعْبُدُوا,اعبدوا,,
رَبَّكُمُ,ربكم,,
الَّذِي,,اسم,الَّذِي
خَلَقَكُمْ,خلقكم,,
وَالَّذِينَ,,اسم,والذين
,,فعل,مِنْ
قَبْلِكُمْ,قبلكم,,
لَعَلَّكُمْ,لعلكم,,
تَتَّقُونَ,تتقون,,
الَّذِي,,اسم,الَّذِي
,جعل,فعل,
لَكُمُ,لكم,,
الْأَرْضَ,الارض,اسم,الْأَرْضَ
,None,اسم,فِرَاشًا
وَالسَّمَاءَ,والسماء,,
,None,اسم,بِنَاءً
وَأَنْزَلَ,وانزل,,
مِنَ,,اسم,من
السَّمَاءِ,السماء,اسم,السَّمَاءِ
,None,اسم,مَاءً
فَأَخْرَجَ,فاخرج,,
,به,حرف_جر,بِهِ
مِنَ,,اسم,من
الثَّمَرَاتِ,الثمرات,اسم,الثَّمَرَاتِ
,None,اسم,رِزْقًا
,لكم,حرف_جر,لَكُمْ
,فلا,اسم,فَلَا
تَجْعَلُوا,تجعلوا,,
لِلَّهِ,,اسم,لله
,None,اسم,أَنْدَادًا
,وانتم,حرف,وَأَنْتُمْ
تَعْلَمُونَ,تعلمون,,
,وان,حرف,وَإِنْ
كُنْتُمْ,كنتم,,
,في,حرف_جر,فِي
,None,اسم,رَيْبٍ
,مما,حرف_جر,مِمَّا
,نزلنا,اسم,نَزَّلْنَا
,علي,حرف_جر,عَلَىٰ
,عبدنا,اسم,عَبْدِنَا
فَأْتُوا,فاتوا,,
,None,اسم,بِسُورَةٍ
,,فعل,مِنْ
مِثْلِهِ,مثله,,
وَادْعُوا,وادعوا,,
شُهَدَاءَكُمْ,شهداءكم,,
,,فعل,مِنْ
دُونِ,,اسم,دون
اللَّهِ,,اسم,اللَّهِ
,ان,حرف,إِنْ
كُنْتُمْ,كنتم,,
صَادِقِينَ,صادقين,,
,فان,حرف,فَإِنْ
,,فعل,لَمْ
تَفْعَلُوا,تفعلوا,,
,ولن,حرف,وَلَنْ
تَفْعَلُوا,تفعلوا,,
فَاتَّقُوا,فاتقوا,,
النَّارَ,النار,اسم,النَّارَ
الَّتِي,,اسم,الَّتِي
وَقُودُهَا,وقودها,,
النَّاسُ,الناس,اسم,النَّاسُ
وَالْحِجَارَةُ,والحجاره,,
أُعِدَّتْ,اعدت,,
لِلْكَافِرِينَ,للكافرين,,
وَبَشِّرِ,وبشر,,
الَّذِينَ,,اسم,الَّذِينَ
آمَنُوا,امنوا,,
وَعَمِلُوا,وعملوا,,
الصَّالِحَاتِ,الصالحات,اسم,الصَّالِحَاتِ
,ان,حرف,أَنَّ
,لهم,حرف_جر,لَهُمْ
,None,اسم,جَنَّاتٍ
تَجْرِي,تجري,,
,,فعل,مِنْ
تَحْتِهَا,تحتها,,
الْأَنْهَارُ,الانهار,اسم,الْأَنْهَارُ
كُلَّمَا,كلما,,
رُزِقُوا,رزقوا,,
,منها,حرف_جر,مِنْهَا
,,فعل,مِنْ
,None,اسم,ثَمَرَةٍ
,None,اسم,رِزْقًا
قَالُوا,قالوا,,
هَٰذَا,,اسم,هذا
الَّذِي,,اسم,الَّذِي
رُزِقْنَا,رزقنا,,
,,فعل,مِنْ
,قبل,حرف,قَبْلُ
وَأُتُوا,واتوا,,
,به,حرف_جر,بِهِ
,None,اسم,مُتَشَابِهًا
,ولهم,حرف_جر,وَلَهُمْ
,فيها,اسم,فِيهَا
,None,اسم,أَزْوَاجٌ
,None,اسم,مُطَهَّرَةٌ
,وهم,حرف,وَهُمْ
,فيها,حرف_جر,فِيهَا
,خالدون,اسم,خَالِدُونَ
,ان,حرف,إِنَّ
اللَّهَ,,اسم,اللَّهَ
,لا,حرف,لَا
يَسْتَحْيِي,يستحيي,,
,ان,حرف,أَنْ
يَضْرِبَ,يضرب,,
,None,اسم,مَثَلًا
مَا,,اسم,ما
,None,اسم,بَعُوضَةً
,فما,حرف,فَمَا
فَوْقَهَا,فوقها,,
,فاما,حرف,فَأَمَّا
الَّذِينَ,,اسم,الَّذِينَ
آمَنُوا,امنوا,,
فَيَعْلَمُونَ,فيعلمون,,
أَنَّهُ,انه,,
الْحَقُّ,,اسم,الْحَقُّ
,,فعل,مِنْ
رَبِّهِمْ,ربهم,,
وَأَمَّا,واما,,
الَّذِينَ,,اسم,الَّذِينَ
كَفَرُوا,كفروا,,
فَيَقُولُونَ,فيقولون,,
مَاذَا,,اسم,ماذا
أَرَادَ,اراد,,
اللَّهُ,,اسم,اللَّهُ
بِهَٰذَا,,اسم,بهذا
,None,اسم,مَثَلًا
يُضِلُّ,يضل,,
,به,حرف_جر,بِهِ
,None,اسم,كَثِيرًا
وَيَهْدِي,ويهدي,,
,به,حرف_جر,بِهِ
,None,اسم,كَثِيرًا
,وما,حرف,وَمَا
يُضِلُّ,يضل,,
,به,حرف_جر,بِهِ
,الا,اسم,إِلَّا
الْفَاسِقِينَ,الفاسقين,اسم,الْفَاسِقِينَ
الَّذِينَ,,اسم,الَّذِينَ
يَنْقُضُونَ,ينقضون,,
عَهْدَ,عهد,,
اللَّهِ,,اسم,اللَّهِ
,,فعل,مِنْ
بَعْدِ,بعد,,
مِيثَاقِهِ,ميثاقه,,
وَيَقْطَعُونَ,ويقطعون,,
مَا,,اسم,ما
,امر,فعل,
اللَّهُ,,اسم,اللَّهُ
,به,حرف_جر,بِهِ
,ان,اسم,أَنْ
يُوصَلَ,يوصل,,
وَيُفْسِدُونَ,ويفسدون,,
,في,حرف_جر,فِي
,الارض,اسم,الْأَرْضِ
أُولَٰئِكَ,,اسم,اوليك
هُمُ,,اسم,هم
الْخَاسِرُونَ,الخاسرون,اسم,الْخَاسِرُونَ
كَيْفَ,,اسم,كيف
تَكْفُرُونَ,تكفرون,,
بِاللَّهِ,بالله,,
وَكُنْتُمْ,وكنتم,,
,None,اسم,أَمْوَاتًا
فَأَحْيَاكُمْ,فاحياكم,,
ثُمَّ,,اسم,ثم
يُمِيتُكُمْ,يميتكم,,
ثُمَّ,,اسم,ثم
يُحْيِيكُمْ,يحييكم,,
ثُمَّ,,اسم,ثم
,اليه,حرف_جر,إِلَيْهِ
,ترجعون,اسم,تُرْجَعُونَ
هُوَ,,اسم,هو
الَّذِي,,اسم,الَّذِي
,خلق,فعل,
,لكم,حرف_جر,لَكُمْ
مَا,,اسم,ما
,في,حرف_جر,فِي
,الارض,اسم,الْأَرْضِ
,None,اسم,جَمِيعًا
ثُمَّ,,اسم,ثم
اسْتَوَىٰ,استوي,,
,الي,حرف_جر,إِلَى
,السماء,اسم,السَّمَاءِ
فَسَوَّاهُنَّ,فسواهن,,
سَبْعَ,,اسم,سبع
,None,اسم,سَمَاوَاتٍ
,وهو,حرف,وَهُوَ
بِكُلِّ,بكل,,
,None,اسم,شَيْءٍ
,None,اسم,عَلِيمٌ
,واذ,حرف,وَإِذْ
,قال,فعل,
رَبُّكَ,ربك,,
لِلْمَلَائِكَةِ,للملايكه,,
إِنِّي,,اسم,اني
,None,اسم,جَاعِلٌ
,في,حرف_جر,فِي
,الارض,اسم,الْأَرْضِ
,None,اسم,خَلِيفَةً
قَالُوا,قالوا,,
أَتَجْعَلُ,اتجعل,,
,فيها,حرف_جر,فِيهَا
,,فعل,مَنْ
يُفْسِدُ,يفسد,,
,فيها,حرف_جر,فِيهَا
,ويسفك,اسم,وَيَسْفِكُ
الدِّمَاءَ,الدماء,اسم,الدِّمَاءَ
,ونحن,حرف,وَنَحْنُ
نُسَبِّحُ,نسبح,,
بِحَمْدِكَ,بحمدك,,
وَنُقَدِّسُ,ونقدس,,
,لك,حرف_جر,لَكَ
,قال,اسم,قَالَ
إِنِّي,,اسم,اني
أَعْلَمُ,اعلم,,
مَا,,اسم,ما
,لا,حرف,لَا
تَعْلَمُونَ,تعلمون,,
وَعَلَّمَ,وعلم,,
آدَمَ,,اسم,ادم
الْأَسْمَاءَ,الاسماء,اسم,الْأَسْمَاءَ
كُلَّهَا,كلها,,
ثُمَّ,,اسم,ثم
عَرَضَهُمْ,عرضهم,,
,علي,حرف_جر,عَلَى
,الملايكه,اسم,الْمَلَائِكَةِ
فَقَالَ,فقال,,
أَنْبِئُونِي,انبيوني,,
بِأَسْمَاءِ,باسماء,,
هَٰؤُلَاءِ,,اسم,هولاء
,ان,حرف,إِنْ
كُنْتُمْ,كنتم,,
صَادِقِينَ,صادقين,,
قَالُوا,قالوا,,
سُبْحَانَكَ,سبحانك,,
,لا,حرف,لَا
عِلْمَ,علم,,
,لنا,حرف_جر,لَنَا
,الا,اسم,إِلَّا
مَا,,اسم,ما
عَلَّمْتَنَا,علمتنا,,
إِنَّكَ,انك,,
أَنْتَ,,اسم,انت
الْعَلِيمُ,,اسم,الْعَلِيمُ
الْحَكِيمُ,,اسم,الْحَكِيمُ
,قال,فعل,
,يا,حرف,يَا
آدَمُ,,اسم,ادم
أَنْبِئْهُمْ,انبيهم,,
بِأَسْمَائِهِمْ,باسمايهم,,
,فلما,حرف,فَلَمَّا
أَنْبَأَهُمْ,انباهم,,
بِأَسْمَائِهِمْ,باسمايهم,,
,قال,فعل,
أَلَمْ,الم,,
أَقُلْ,اقل,,
,لكم,حرف_جر,لَكُمْ
إِنِّي,,اسم,اني
أَعْلَمُ,اعلم,,
غَيْبَ,غيب,,
السَّمَاوَاتِ,السماوات,اسم,السَّمَاوَاتِ
وَالْأَرْضِ,والارض,,
وَأَعْلَمُ,واعلم,,
مَا,,اسم,ما
تُبْدُونَ,تبدون,,
,وما,حرف,وَمَا
كُنْتُمْ,كنتم,,
تَكْتُمُونَ,تكتمون,,
,واذ,حرف,وَإِذْ
قُلْنَا,قلنا,,
لِلْمَلَائِكَةِ,للملايكه,,
اسْجُدُوا,اسجدوا,,
لِآدَمَ,لادم,,
فَسَجَدُوا,فسجدوا,,
,الا,حرف,إِلَّا
إِبْلِيسَ,,اسم,ابليس
أَبَىٰ,ابي,,
وَاسْتَكْبَرَ,واستكبر,,
وَكَانَ,وكان,,
مِنَ,,اسم,من
الْكَافِرِينَ,الكافرين,اسم,الْكَافِرِينَ
وَقُلْنَا,وقلنا,,
,يا,حرف,يَا
آدَمُ,,اسم,ادم
,اسكن,فعل,اسْكُنْ
أَنْتَ,,اسم,انت
وَزَوْجُكَ,وزوجك,,
الْجَنَّةَ,الجنه,اسم,الْجَنَّةَ
وَكُلَا,وكلا,,
,منها,حرف_جر,مِنْهَا
,None,اسم,رَغَدًا
حَيْثُ,,اسم,حيث
شِئْتُمَا,شيتما,,
,ولا,حرف,وَلَا
تَقْرَبَا,تقربا,,
هَٰذِهِ,,اسم,هذه
الشَّجَرَةَ,الشجره,اسم,الشَّجَرَةَ
فَتَكُونَا,فتكونا,,
مِنَ,,اسم,من
الظَّالِمِينَ,الظالمين,اسم,الظَّالِمِينَ
فَأَزَلَّهُمَا,فازلهما,,
الشَّيْطَانُ,الشيطان,اسم,الشَّيْطَانُ
,عنها,حرف_جر,عَنْهَا
,فاخرجهما,اسم,فَأَخْرَجَهُمَا
,مما,حرف_جر,مِمَّا
,كانا,اسم,كَانَا
,فيه,حرف_جر,فِيهِ
,وقلنا,اسم,وَقُلْنَا
اهْبِطُوا,اهبطوا,,
بَعْضُكُمْ,بعضكم,,
,None,اسم,لِبَعْضٍ
,None,اسم,عَدُوٌّ
,ولكم,حرف_جر,وَلَكُمْ
,في,اسم,فِي
الْأَرْضِ,الارض,اسم,الْأَرْضِ
,None,اسم,مُسْتَقَرٌّ
,None,اسم,وَمَتَاعٌ
إِلَىٰ,الي,,
,None,اسم,حِينٍ
فَتَلَقَّىٰ,فتلقي,,
آدَمُ,,اسم,ادم
,,فعل,مِنْ
رَبِّهِ,ربه,,
,None,اسم,كَلِمَاتٍ
فَتَابَ,فتاب,,
,عليه,حرف_جر,عَلَيْهِ
,انه,اسم,إِنَّهُ
هُوَ,,اسم,هو
التَّوَّابُ,,اسم,التَّوَّابُ
الرَّحِيمُ,,اسم,الرَّحِيمُ
قُلْنَا,قلنا,,
اهْبِطُوا,اهبطوا,,
,منها,حرف_جر,مِنْهَا
,None,اسم,جَمِيعًا
فَإِمَّا,فاما,,
يَأْتِيَنَّكُمْ,ياتينكم,,
,مني,حرف_جر,مِنِّي
,هدي,اسم,هُدًى
,فمن,حرف_جر,فَمَنْ
,تبع,اسم,تَبِعَ
هُدَايَ,هداي,,
,فلا,حرف,فَلَا
,None,اسم,خَوْفٌ
,عليهم,حرف_جر,عَلَيْهِمْ
,ولا,اسم,وَلَا
هُمْ,,اسم,هم
يَحْزَنُونَ,يحزنون,,
وَالَّذِينَ,,اسم,والذين
كَفَرُوا,كفروا,,
وَكَذَّبُوا,وكذبوا,,
بِآيَاتِنَا,باياتنا,,
أُولَٰئِكَ,,اسم,اوليك
أَصْحَابُ,اصحاب,,
النَّارِ,النار,اسم,النَّارِ
هُمْ,,اسم,هم
,فيها,حرف_جر,فِيهَا
,خالدون,اسم,خَالِدُونَ
,يا,حرف,يَا
بَنِي,بني,,
إِسْرَائِيلَ,,اسم,اسراييل
اذْكُرُوا,اذكروا,,
نِعْمَتِيَ,نعمتي,,
الَّتِي,,اسم,الَّتِي
أَنْعَمْتُ,انعمت,,
,عليكم,حرف_جر,عَلَيْكُمْ
,واوفوا,اسم,وَأَوْفُوا
بِعَهْدِي,بعهدي,,
أُوفِ,اوف,,
بِعَهْدِكُمْ,بعهدكم,,
وَإِيَّايَ,واياي,,
فَارْهَبُونِ,فارهبون,,
وَآمِنُوا,وامنوا,,
,بما,حرف_جر,بِمَا
,انزلت,اسم,أَنْزَلْتُ
,None,اسم,مُصَدِّقًا
لِمَا,لما,,
مَعَكُمْ,معكم,,
,ولا,حرف,وَلَا
تَكُونُوا,تكونوا,,
أَوَّلَ,اول,,
,None,اسم,كَافِرٍ
,به,حرف_جر,بِهِ
,ولا,اسم,وَلَا
تَشْتَرُوا,تشتروا,,
بِآيَاتِي,باياتي,,
,None,اسم,ثَمَنًا
,None,اسم,قَلِيلًا
وَإِيَّايَ,واياي,,
فَاتَّقُونِ,فاتقون,,
,ولا,حرف,وَلَا
تَلْبِسُوا,تلبسوا,,
الْحَقَّ,,اسم,الْحَقَّ
بِالْبَاطِلِ,بالباطل,,
وَتَكْتُمُوا,وتكتموا,,
الْحَقَّ,,اسم,الْحَقَّ
,وانتم,حرف,وَأَنْتُمْ
تَعْلَمُونَ,تعلمون,,
وَأَقِيمُوا,واقيموا,,
الصَّلَاةَ,,اسم,الصَّلَاةَ
وَآتُوا,واتوا,,
الزَّكَاةَ,,اسم,الزَّكَاةَ
وَارْكَعُوا,واركعوا,,
مَعَ,مع,,
الرَّاكِعِينَ,الراكعين,اسم,الرَّاكِعِينَ
أَتَأْمُرُونَ,اتامرون,,
النَّاسَ,الناس,اسم,النَّاسَ
بِالْبِرِّ,بالبر,,
وَتَنْسَوْنَ,وتنسون,,
أَنْفُسَكُمْ,انفسكم,,
,وانتم,حرف,وَأَنْتُمْ
تَتْلُونَ,تتلون,,
الْكِتَابَ,الكتاب,اسم,الْكِتَابَ
أَفَلَا,افلا,,
تَعْقِلُونَ,تعقلون,,
وَاسْتَعِينُوا,واستعينوا,,
بِالصَّبْرِ,بالصبر,,
وَالصَّلَاةِ,والصلاه,,
,وانها,حرف,وَإِنَّهَا
,None,اسم,لَكَبِيرَةٌ
,الا,حرف,إِلَّا
,علي,حرف_جر,عَلَى
,الخاشعين,اسم,الْخَاشِعِينَ
الَّذِينَ,,اسم,الَّذِينَ
يَظُنُّونَ,يظنون,,
أَنَّهُمْ,انهم,,
مُلَاقُو,ملاقو,,
رَبِّهِمْ,ربهم,,
وَأَنَّهُمْ,وانهم,,
,اليه,حرف_جر,إِلَيْهِ
,راجعون,اسم,رَاجِعُونَ
,يا,حرف,يَا
بَنِي,بني,,
إِسْرَائِيلَ,,اسم,اسراييل
اذْكُرُوا,اذكروا,,
نِعْمَتِيَ,نعمتي,,
الَّتِي,,اسم,الَّتِي
أَنْعَمْتُ,انعمت,,
,عليكم,حرف_جر,عَلَيْكُمْ
,واني,اسم,وَأَنِّي
فَضَّلْتُكُمْ,فضلتكم,,
,علي,حرف_جر,عَلَى
,العالمين,اسم,الْعَالَمِينَ
وَاتَّقُوا,واتقوا,,
,None,اسم,يَوْمًا
,لا,حرف,لَا
تَجْزِي,تجزي,,
,None,اسم,نَفْسٌ
,عن,حرف_جر,عَنْ
,None,اسم,نَفْسٍ
,None,اسم,شَيْئًا
,ولا,حرف,وَلَا
يُقْبَلُ,يقبل,,
,منها,حرف_جر,مِنْهَا
,None,اسم,شَفَاعَةٌ
,ولا,حرف,وَلَا
يُؤْخَذُ,يوخذ,,
,منها,حرف_جر,مِنْهَا
,None,اسم,عَدْلٌ
,ولا,حرف,وَلَا
هُمْ,,اسم,هم
يُنْصَرُونَ,ينصرون,,
,واذ,حرف,وَإِذْ
نَجَّيْنَاكُمْ,نجيناكم,,
,,فعل,مِنْ
آلِ,ال,,
فِرْعَوْنَ,,اسم,فرعون
يَسُومُونَكُمْ,يسومونكم,,
سُوءَ,سوء,,
الْعَذَابِ,العذاب,اسم,الْعَذَابِ
يُذَبِّحُونَ,يذبحون,,
أَبْنَاءَكُمْ,ابناءكم,,
وَيَسْتَحْيُونَ,ويستحيون,,
نِسَاءَكُمْ,نساءكم,,
,وفي,حرف_جر,وَفِي
ذَٰلِكُمْ,,اسم,ذلكم
,None,اسم,بَلَاءٌ
,,فعل,مِنْ
رَبِّكُمْ,ربكم,,
,None,اسم,عَظِيمٌ
,واذ,حرف,وَإِذْ
فَرَقْنَا,فرقنا,,
بِكُمُ,بكم,,
الْبَحْرَ,البحر,اسم,الْبَحْرَ
